stateid,state,state_abbr,control,level,year,gender,race,cohort,grad_cohort,grad_100,grad_150,grad_100_rate,grad_150_rate,grad_cohort_ct
47,Tennessee,TN,"Private not-for-profit",4-year,2006,M,H,"4y other",3,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2006,M,W,"4y bach",3216,1416,1893,44.0,58.9,35
47,Tennessee,TN,"Private not-for-profit",4-year,2006,M,W,"4y other",78,,21,,26.9,5
47,Tennessee,TN,"Private not-for-profit",4-year,2006,M,X,"4y bach",4180,1688,2327,40.4,55.7,35
47,Tennessee,TN,"Private not-for-profit",4-year,2006,M,X,"4y other",104,,26,,25.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,A,"4y bach",204,124,149,60.8,73.0,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,A,"4y other",0,,0,,,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,Ai,"4y bach",29,9,11,31.0,37.9,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,Ai,"4y other",4,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,B,"4y bach",1105,247,453,22.4,41.0,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,B,"4y other",21,,1,,4.8,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,H,"4y bach",177,90,100,50.8,56.5,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,H,"4y other",2,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,W,"4y bach",7207,3529,4509,49.0,62.6,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,W,"4y other",137,,38,,27.7,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,X,"4y bach",9145,4179,5462,45.7,59.7,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,B,X,"4y other",190,,56,,29.5,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,A,"4y bach",118,77,90,65.3,76.3,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,A,"4y other",0,,0,,,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,Ai,"4y bach",14,4,5,28.6,35.7,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,Ai,"4y other",3,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,B,"4y bach",577,166,271,28.8,47.0,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,B,"4y other",8,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,H,"4y bach",101,51,57,50.5,56.4,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,H,"4y other",0,,0,,,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,W,"4y bach",4112,2111,2674,51.3,65.0,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,W,"4y other",70,,20,,28.6,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,X,"4y bach",5113,2490,3201,48.7,62.6,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,F,X,"4y other",96,,29,,30.2,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,A,"4y bach",86,47,59,54.7,68.6,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,A,"4y other",0,,0,,,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,Ai,"4y bach",15,5,6,33.3,40.0,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,Ai,"4y other",1,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,B,"4y bach",528,81,182,15.3,34.5,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,B,"4y other",13,,1,,7.7,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,H,"4y bach",76,39,43,51.3,56.6,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,H,"4y other",2,,0,,0.0,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,W,"4y bach",3095,1418,1835,45.8,59.3,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,W,"4y other",67,,18,,26.9,5
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,X,"4y bach",4032,1689,2261,41.9,56.1,34
47,Tennessee,TN,"Private not-for-profit",4-year,2007,M,X,"4y other",94,,27,,28.7,5
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,A,"4y bach",209,129,151,61.7,72.2,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,A,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,Ai,"4y bach",40,14,20,35.0,50.0,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,Ai,"4y other",1,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,B,"4y bach",1161,314,501,27.0,43.2,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,B,"4y other",34,,1,,2.9,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,H,"4y bach",209,84,113,40.2,54.1,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,H,"4y other",1,,0,,0.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,W,"4y bach",7167,3534,4462,49.3,62.3,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,W,"4y other",196,,59,,30.1,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,X,"4y bach",9263,4291,5522,46.3,59.6,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,B,X,"4y other",248,,62,,25.0,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,A,"4y bach",96,60,70,62.5,72.9,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,A,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,Ai,"4y bach",23,11,14,47.8,60.9,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,Ai,"4y other",0,,0,,,7
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,B,"4y bach",615,205,300,33.3,48.8,35
47,Tennessee,TN,"Private not-for-profit",4-year,2008,F,B,"4y other",12,,0,,0.0,7
