state,state_abbr,control,year,gender,race,num_of_students,num_grad_in_4,num_grad_in_6,perc_grad_in_4,perc_grad_in_6
Tennessee,TN,Public,2007,B,H,1,,0,,0
Tennessee,TN,Public,2007,B,W,11762,2855,5481,24.3,46.6
Tennessee,TN,Public,2007,B,W,34,,9,,26.5
Tennessee,TN,Public,2007,B,X,15615,3526,6898,22.6,44.2
Tennessee,TN,Public,2007,B,X,57,,12,,21.1
Tennessee,TN,Public,2007,F,A,148,43,77,29.1,52
Tennessee,TN,Public,2007,F,A,0,,0,,
Tennessee,TN,Public,2007,F,Ai,23,2,9,8.7,39.1
Tennessee,TN,Public,2007,F,Ai,0,,0,,
Tennessee,TN,Public,2007,F,B,1950,409,807,21,41.4
Tennessee,TN,Public,2007,F,B,18,,2,,11.1
Tennessee,TN,Public,2007,F,H,82,17,36,20.7,43.9
Tennessee,TN,Public,2007,F,H,1,,0,,0
Tennessee,TN,Public,2007,F,W,6182,1797,3097,29.1,50.1
Tennessee,TN,Public,2007,F,W,23,,7,,30.4
Tennessee,TN,Public,2007,F,X,8496,2283,4063,26.9,47.8
Tennessee,TN,Public,2007,F,X,42,,9,,21.4
Tennessee,TN,Public,2007,M,A,179,33,69,18.4,38.5
Tennessee,TN,Public,2007,M,A,0,,0,,
Tennessee,TN,Public,2007,M,Ai,29,2,7,6.9,24.1
Tennessee,TN,Public,2007,M,Ai,0,,0,,
Tennessee,TN,Public,2007,M,B,1115,122,311,10.9,27.9
Tennessee,TN,Public,2007,M,B,1,,0,,0
Tennessee,TN,Public,2007,M,H,97,17,37,17.5,38.1
Tennessee,TN,Public,2007,M,H,0,,0,,
Tennessee,TN,Public,2007,M,W,5580,1058,2384,19,42.7
Tennessee,TN,Public,2007,M,W,11,,2,,18.2
Tennessee,TN,Public,2007,M,X,7119,1243,2835,17.5,39.8
Tennessee,TN,Public,2007,M,X,15,,3,,20
Tennessee,TN,Public,2008,B,A,341,53,158,15.5,46.3
Tennessee,TN,Public,2008,B,A,0,,0,,
Tennessee,TN,Public,2008,B,Ai,54,5,12,9.3,22.2
Tennessee,TN,Public,2008,B,Ai,1,,0,,0
Tennessee,TN,Public,2008,B,B,3180,409,1208,12.9,38
Tennessee,TN,Public,2008,B,B,10,,0,,0
Tennessee,TN,Public,2008,B,H,221,38,81,17.2,36.7
Tennessee,TN,Public,2008,B,H,0,,0,,
Tennessee,TN,Public,2008,B,W,11711,2449,5656,20.9,48.3
Tennessee,TN,Public,2008,B,W,23,,8,,34.8
Tennessee,TN,Public,2008,B,X,15767,3011,7224,19.1,45.8
Tennessee,TN,Public,2008,B,X,41,,8,,19.5
Tennessee,TN,Public,2008,F,A,175,40,84,22.9,48
Tennessee,TN,Public,2008,F,A,0,,0,,
Tennessee,TN,Public,2008,F,Ai,32,2,7,6.3,21.9
Tennessee,TN,Public,2008,F,Ai,0,,0,,
Tennessee,TN,Public,2008,F,B,1942,318,832,16.4,42.8
Tennessee,TN,Public,2008,F,B,6,,0,,0
Tennessee,TN,Public,2008,F,H,123,21,42,17.1,34.1
Tennessee,TN,Public,2008,F,H,0,,0,,
Tennessee,TN,Public,2008,F,W,6243,1616,3227,25.9,51.7
Tennessee,TN,Public,2008,F,W,16,,6,,37.5
Tennessee,TN,Public,2008,F,X,8662,2031,4252,23.4,49.1
Tennessee,TN,Public,2008,F,X,28,,6,,21.4
Tennessee,TN,Public,2008,M,A,166,13,74,7.8,44.6
Tennessee,TN,Public,2008,M,A,0,,0,,
Tennessee,TN,Public,2008,M,Ai,22,3,5,13.6,22.7
Tennessee,TN,Public,2008,M,Ai,1,,0,,0
Tennessee,TN,Public,2008,M,B,1238,91,376,7.4,30.4
Tennessee,TN,Public,2008,M,B,4,,0,,0
Tennessee,TN,Public,2008,M,H,98,17,39,17.3,39.8
Tennessee,TN,Public,2008,M,H,0,,0,,
Tennessee,TN,Public,2008,M,W,5468,833,2429,15.2,44.4
Tennessee,TN,Public,2008,M,W,7,,2,,28.6
Tennessee,TN,Public,2008,M,X,7105,980,2972,13.8,41.8
Tennessee,TN,Public,2008,M,X,13,,2,,15.4
Tennessee,TN,Public,2009,B,A,324,72,165,22.2,50.9
Tennessee,TN,Public,2009,B,Ai,65,11,19,16.9,29.2
Tennessee,TN,Public,2009,B,B,3275,409,1239,12.5,37.8
Tennessee,TN,Public,2009,B,H,202,28,93,13.9,46
Tennessee,TN,Public,2009,B,W,11641,2679,5762,23,49.5
Tennessee,TN,Public,2009,B,X,15772,3238,7375,20.5,46.8
Tennessee,TN,Public,2009,F,A,164,45,85,27.4,51.8
Tennessee,TN,Public,2009,F,Ai,41,8,12,19.5,29.3
Tennessee,TN,Public,2009,F,B,2068,304,822,14.7,39.7
Tennessee,TN,Public,2009,F,H,117,18,58,15.4,49.6
Tennessee,TN,Public,2009,F,W,6141,1713,3194,27.9,52
Tennessee,TN,Public,2009,F,X,8664,2110,4227,24.4,48.8
Tennessee,TN,Public,2009,M,A,160,27,80,16.9,50
Tennessee,TN,Public,2009,M,Ai,24,3,7,12.5,29.2
Tennessee,TN,Public,2009,M,B,1207,105,417,8.7,34.5
Tennessee,TN,Public,2009,M,H,85,10,35,11.8,41.2
Tennessee,TN,Public,2009,M,W,5500,966,2568,17.6,46.7
Tennessee,TN,Public,2009,M,X,7108,1128,3148,15.9,44.3
Tennessee,TN,Public,2010,B,A,348,75,167,21.6,48
Tennessee,TN,Public,2010,B,A,0,,0,,
Tennessee,TN,Public,2010,B,Ai,53,6,15,11.3,28.3
Tennessee,TN,Public,2010,B,Ai,1,,0,,0
Tennessee,TN,Public,2010,B,B,3547,351,1185,9.9,33.4
Tennessee,TN,Public,2010,B,B,3,,0,,0
Tennessee,TN,Public,2010,B,H,255,45,98,17.6,38.4
Tennessee,TN,Public,2010,B,H,4,,0,,0
Tennessee,TN,Public,2010,B,W,12868,2899,6349,22.5,49.3
Tennessee,TN,Public,2010,B,W,24,,3,,12.5
Tennessee,TN,Public,2010,B,X,17500,3442,7959,19.7,45.5
Tennessee,TN,Public,2010,B,X,40,,4,,10
Tennessee,TN,Public,2010,F,A,178,40,83,22.5,46.6
Tennessee,TN,Public,2010,F,A,0,,0,,
Tennessee,TN,Public,2010,F,Ai,27,3,7,11.1,25.9
Tennessee,TN,Public,2010,F,Ai,1,,0,,0
Tennessee,TN,Public,2010,F,B,2272,259,820,11.4,36.1
Tennessee,TN,Public,2010,F,B,1,,0,,0
Tennessee,TN,Public,2010,F,H,149,36,61,24.2,40.9
Tennessee,TN,Public,2010,F,H,3,,0,,0
Tennessee,TN,Public,2010,F,W,6755,1860,3542,27.5,52.4
Tennessee,TN,Public,2010,F,W,7,,2,,28.6
Tennessee,TN,Public,2010,F,X,9578,2236,4585,23.3,47.9
Tennessee,TN,Public,2010,F,X,15,,2,,13.3
Tennessee,TN,Public,2010,M,A,170,35,84,20.6,49.4
Tennessee,TN,Public,2010,M,A,0,,0,,
Tennessee,TN,Public,2010,M,Ai,26,3,8,11.5,30.8
Tennessee,TN,Public,2010,M,Ai,0,,0,,
Tennessee,TN,Public,2010,M,B,1275,92,365,7.2,28.6
Tennessee,TN,Public,2010,M,B,2,,0,,0
Tennessee,TN,Public,2010,M,H,106,9,37,8.5,34.9
Tennessee,TN,Public,2010,M,H,1,,0,,0
Tennessee,TN,Public,2010,M,W,6113,1039,2807,17,45.9
Tennessee,TN,Public,2010,M,W,17,,1,,5.9
Tennessee,TN,Public,2010,M,X,7922,1206,3374,15.2,42.6
Tennessee,TN,Public,2010,M,X,25,,2,,8
